"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|CZ","Actual Total Load [MW] - BZN|CZ"
"01.01.2022 00:00 - 01.01.2022 01:00","5614","5333"
"01.01.2022 01:00 - 01.01.2022 02:00","5570","5261"
"01.01.2022 02:00 - 01.01.2022 03:00","5505","5187"
"01.01.2022 03:00 - 01.01.2022 04:00","5403","5034"
"01.01.2022 04:00 - 01.01.2022 05:00","5359","4991"
"01.01.2022 05:00 - 01.01.2022 06:00","5320","4977"
"01.01.2022 06:00 - 01.01.2022 07:00","5312","4998"
"01.01.2022 07:00 - 01.01.2022 08:00","5335","5089"
"01.01.2022 08:00 - 01.01.2022 09:00","5368","5175"
"01.01.2022 09:00 - 01.01.2022 10:00","5807","5554"
"01.01.2022 10:00 - 01.01.2022 11:00","6174","5944"
"01.01.2022 11:00 - 01.01.2022 12:00","6334","6163"
"01.01.2022 12:00 - 01.01.2022 13:00","6357","6217"
"01.01.2022 13:00 - 01.01.2022 14:00","6385","6255"
"01.01.2022 14:00 - 01.01.2022 15:00","6319","6184"
"01.01.2022 15:00 - 01.01.2022 16:00","6387","6243"
"01.01.2022 16:00 - 01.01.2022 17:00","6514","6318"
"01.01.2022 17:00 - 01.01.2022 18:00","6529","6341"
"01.01.2022 18:00 - 01.01.2022 19:00","6493","6371"
"01.01.2022 19:00 - 01.01.2022 20:00","6455","6319"
"01.01.2022 20:00 - 01.01.2022 21:00","6371","6257"
"01.01.2022 21:00 - 01.01.2022 22:00","6089","5939"
"01.01.2022 22:00 - 01.01.2022 23:00","5994","5806"
"01.01.2022 23:00 - 02.01.2022 00:00","5744","5575"
"02.01.2022 00:00 - 02.01.2022 01:00","5513","5205"
"02.01.2022 01:00 - 02.01.2022 02:00","5447","5153"
"02.01.2022 02:00 - 02.01.2022 03:00","5453","5192"
"02.01.2022 03:00 - 02.01.2022 04:00","5426","5175"
"02.01.2022 04:00 - 02.01.2022 05:00","5444","5210"
"02.01.2022 05:00 - 02.01.2022 06:00","5506","5323"
"02.01.2022 06:00 - 02.01.2022 07:00","5679","5565"
"02.01.2022 07:00 - 02.01.2022 08:00","5895","5827"
"02.01.2022 08:00 - 02.01.2022 09:00","6090","6135"
"02.01.2022 09:00 - 02.01.2022 10:00","6745","6670"
"02.01.2022 10:00 - 02.01.2022 11:00","7045","6998"
"02.01.2022 11:00 - 02.01.2022 12:00","7159","7190"
"02.01.2022 12:00 - 02.01.2022 13:00","7036","7129"
"02.01.2022 13:00 - 02.01.2022 14:00","6995","7167"
"02.01.2022 14:00 - 02.01.2022 15:00","6925","7087"
"02.01.2022 15:00 - 02.01.2022 16:00","6993","7186"
"02.01.2022 16:00 - 02.01.2022 17:00","7190","7315"
"02.01.2022 17:00 - 02.01.2022 18:00","7169","7367"
"02.01.2022 18:00 - 02.01.2022 19:00","7074","7457"
"02.01.2022 19:00 - 02.01.2022 20:00","7040","7344"
"02.01.2022 20:00 - 02.01.2022 21:00","6886","7179"
"02.01.2022 21:00 - 02.01.2022 22:00","6595","6721"
"02.01.2022 22:00 - 02.01.2022 23:00","6398","6507"
"02.01.2022 23:00 - 03.01.2022 00:00","6131","6194"
"03.01.2022 00:00 - 03.01.2022 01:00","5906","5927"
"03.01.2022 01:00 - 03.01.2022 02:00","5895","5974"
"03.01.2022 02:00 - 03.01.2022 03:00","5801","5904"
"03.01.2022 03:00 - 03.01.2022 04:00","5724","5810"
"03.01.2022 04:00 - 03.01.2022 05:00","5783","5975"
"03.01.2022 05:00 - 03.01.2022 06:00","6225","6596"
"03.01.2022 06:00 - 03.01.2022 07:00","7061","7790"
"03.01.2022 07:00 - 03.01.2022 08:00","7461","8445"
"03.01.2022 08:00 - 03.01.2022 09:00","7652","8678"
"03.01.2022 09:00 - 03.01.2022 10:00","8010","8814"
"03.01.2022 10:00 - 03.01.2022 11:00","8064","8795"
"03.01.2022 11:00 - 03.01.2022 12:00","8124","8769"
"03.01.2022 12:00 - 03.01.2022 13:00","8184","8861"
"03.01.2022 13:00 - 03.01.2022 14:00","8151","8872"
"03.01.2022 14:00 - 03.01.2022 15:00","8015","8624"
"03.01.2022 15:00 - 03.01.2022 16:00","8068","8698"
"03.01.2022 16:00 - 03.01.2022 17:00","8274","8806"
"03.01.2022 17:00 - 03.01.2022 18:00","8212","8749"
"03.01.2022 18:00 - 03.01.2022 19:00","7982","8573"
"03.01.2022 19:00 - 03.01.2022 20:00","7919","8491"
"03.01.2022 20:00 - 03.01.2022 21:00","7726","8159"
"03.01.2022 21:00 - 03.01.2022 22:00","7303","7691"
"03.01.2022 22:00 - 03.01.2022 23:00","6917","7303"
"03.01.2022 23:00 - 04.01.2022 00:00","6505","6884"
"04.01.2022 00:00 - 04.01.2022 01:00","6431","6557"
"04.01.2022 01:00 - 04.01.2022 02:00","6431","6562"
"04.01.2022 02:00 - 04.01.2022 03:00","6350","6453"
"04.01.2022 03:00 - 04.01.2022 04:00","6286","6370"
"04.01.2022 04:00 - 04.01.2022 05:00","6398","6541"
"04.01.2022 05:00 - 04.01.2022 06:00","6875","7059"
"04.01.2022 06:00 - 04.01.2022 07:00","7808","8185"
"04.01.2022 07:00 - 04.01.2022 08:00","8236","8742"
"04.01.2022 08:00 - 04.01.2022 09:00","8395","8906"
"04.01.2022 09:00 - 04.01.2022 10:00","8660","9087"
"04.01.2022 10:00 - 04.01.2022 11:00","8755","9126"
"04.01.2022 11:00 - 04.01.2022 12:00","8878","9089"
"04.01.2022 12:00 - 04.01.2022 13:00","8936","9164"
"04.01.2022 13:00 - 04.01.2022 14:00","8906","9214"
"04.01.2022 14:00 - 04.01.2022 15:00","8765","8889"
"04.01.2022 15:00 - 04.01.2022 16:00","8776","8890"
"04.01.2022 16:00 - 04.01.2022 17:00","8828","8941"
"04.01.2022 17:00 - 04.01.2022 18:00","8750","8870"
"04.01.2022 18:00 - 04.01.2022 19:00","8488","8647"
"04.01.2022 19:00 - 04.01.2022 20:00","8396","8593"
"04.01.2022 20:00 - 04.01.2022 21:00","8130","8263"
"04.01.2022 21:00 - 04.01.2022 22:00","7670","7792"
"04.01.2022 22:00 - 04.01.2022 23:00","7260","7399"
"04.01.2022 23:00 - 05.01.2022 00:00","6863","6966"
"05.01.2022 00:00 - 05.01.2022 01:00","6750","6659"
"05.01.2022 01:00 - 05.01.2022 02:00","6763","6669"
"05.01.2022 02:00 - 05.01.2022 03:00","6646","6572"
"05.01.2022 03:00 - 05.01.2022 04:00","6593","6512"
"05.01.2022 04:00 - 05.01.2022 05:00","6711","6705"
"05.01.2022 05:00 - 05.01.2022 06:00","7201","7262"
"05.01.2022 06:00 - 05.01.2022 07:00","8219","8434"
"05.01.2022 07:00 - 05.01.2022 08:00","8730","9042"
"05.01.2022 08:00 - 05.01.2022 09:00","8839","9214"
"05.01.2022 09:00 - 05.01.2022 10:00","9173","9401"
"05.01.2022 10:00 - 05.01.2022 11:00","9248","9429"
"05.01.2022 11:00 - 05.01.2022 12:00","9323","9476"
"05.01.2022 12:00 - 05.01.2022 13:00","9382","9570"
"05.01.2022 13:00 - 05.01.2022 14:00","9347","9592"
"05.01.2022 14:00 - 05.01.2022 15:00","9212","9363"
"05.01.2022 15:00 - 05.01.2022 16:00","9264","9413"
"05.01.2022 16:00 - 05.01.2022 17:00","9367","9487"
"05.01.2022 17:00 - 05.01.2022 18:00","9317","9437"
"05.01.2022 18:00 - 05.01.2022 19:00","9081","9178"
"05.01.2022 19:00 - 05.01.2022 20:00","9007","9123"
"05.01.2022 20:00 - 05.01.2022 21:00","8706","8769"
"05.01.2022 21:00 - 05.01.2022 22:00","8231","8264"
"05.01.2022 22:00 - 05.01.2022 23:00","7796","7841"
"05.01.2022 23:00 - 06.01.2022 00:00","7365","7363"
"06.01.2022 00:00 - 06.01.2022 01:00","7070","7083"
"06.01.2022 01:00 - 06.01.2022 02:00","7099","7085"
"06.01.2022 02:00 - 06.01.2022 03:00","6995","6981"
"06.01.2022 03:00 - 06.01.2022 04:00","6941","6928"
"06.01.2022 04:00 - 06.01.2022 05:00","7078","7116"
"06.01.2022 05:00 - 06.01.2022 06:00","7630","7651"
"06.01.2022 06:00 - 06.01.2022 07:00","8703","8753"
"06.01.2022 07:00 - 06.01.2022 08:00","9208","9352"
"06.01.2022 08:00 - 06.01.2022 09:00","9338","9514"
